Comment,Designator,Footprint,LCSC
"100n","C1,C2,C6,C10,C11,C13,C17,C19,C20,C22,C23,C28,C30,C33,C34,C36,C38,C41,C42,C43","",""
"1u","C12","",""
"100u","C14,C15","",""
"10u","C16","",""
"22u","C18,C21","",""
"33p","C24,C25,C26,C27,C29","",""
"4.7u","C3,C4","",""
"15p","C31,C32","",""
"27p","C35,C37,C39","",""
"1n","C40,C45","",""
"10nF","C44","",""
"C","C46","",""
"N/A","C47,C71,C73","",""
"3.3pF","C48","",""
"47 pF","C49,C58","",""
"10n","C5","",""
"47pF","C50,C56,C60,C69,C70","",""
"15pF","C51,C63","",""
"4.7pF","C52,C62","",""
"1.5pF","C53,C59","",""
"18pF","C54","",""
"33pF","C55","",""
"NA","C57,C65,C68,C72,C74","",""
"2.7pF","C61","",""
"1.2pF","C64","",""
"1.8pF","C66","",""
"6.8pF","C67","",""
"47p","C7,C9","",""
"47u","C8","",""
"LED","D1,D3","LED_SMD:LED_0805_2012Metric",""
"ESDA6V1-5SC6","D2","Package_TO_SOT_SMD:SOT-23-6",""
"Conn_02x03_Counter_Clockwise","J1","",""
"Ant","J10","Connector_Coaxial:U.FL_Molex_MCRF_73412-0110_Vertical",""
"SIM_Card_Shielded","J11","",""
"RFShield_OnePiece","J12","",""
"LF","J13","",""
"HF","J14","",""
"USB_B_Micro","J2","",""
"Conn_02x04_Top_Bottom","J3","",""
"Conn_02x01","J4,J5,J6,J7","",""
"Conn_02x06_Odd_Even","J8,J9","",""
"Ferrite","L1","",""
"12nH","L10","",""
"6.2nH","L11","",""
"15nH","L12","",""
"0R!!","L13","",""
"0R!!!!","L14","",""
"??","L2","",""
"1.5nH","L3","",""
"16nH","L4","",""
"10nH","L5,L9","",""
"33nH","L6,L7","",""
"0R!!!","L8,L15","",""
"BC847","Q1,Q2,Q3","Package_TO_SOT_SMD:SOT-23",""
"20k","R1,R2,R3,R4,R5,R6","",""
"4.7k","R10,R21,R24","",""
"1k","R11,R14","",""
"47k","R12,R22,R25","",""
"5.6k","R13","",""
"22","R18,R19,R20","",""
"330","R23,R26","",""
"100","RN1,RN2,RN3,R27","",""
"0R","R29","",""
"27","R7,R8","",""
"0","R9,R15,R16,R17,R28","",""
"TestPoint","TP1,TP2,TP3,TP4","",""
"74LVC2G126","U1,U7","",""
"NC7SVU04P5X","U10","Package_TO_SOT_SMD:SOT-353_SC-70-5",""
"PE4259","U11,U12","",""
"Swarm_M138","U2","Connector_PCBEdge:BUS_PCI_Express_Mini_Dual",""
"SiP35508","U3,U4","Package_TO_SOT_SMD:SOT-23-6",""
"FT230XQ","U5","Package_DFN_QFN:QFN-16-1EP_4x4mm_P0.65mm_EP2.1x2.1mm",""
"MIC29302WU","U6","Package_TO_SOT_SMD:TO-263-5_TabPin3",""
"M95","U8","RF_GSM:Quectel_M95",""
"SX1276","U9","Package_DFN_QFN:QFN-28-1EP_6x6mm_P0.65mm_EP4.8x4.8mm",""
"32MHz","Y1","",""